Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,MONITOR 1,MONITOR 2,
WW01,05/10/2014,12:52:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",3.65,m,,0.1,m,0.1,m,,,,,,,,Alton Pond,Carol Ann Baker,Mark Baker,WD
WW01,05/10/2014,12:52:00 PM,Composite,Water,,Secchi Depth - 00069,2.71,m,,0.1,m,0.1,m,,,,,,,,Alton Pond,Carol Ann Baker,Mark Baker,WD
WW01,05/10/2014,12:52:00 PM,Grab,Water,0.1,Temperature - 00011,17.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Alton Pond,Carol Ann Baker,Mark Baker,WD
WW01,05/10/2014,12:52:00 PM,Grab,Water,1,Temperature - 00011,18.4,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Alton Pond,Carol Ann Baker,Mark Baker,WD
WW01,05/17/2014,,Grab,Water,1,Alkalinity - 00410,5.22,mg/l,,0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Replicate,Water,1,Alkalinity - 00410,5.34,mg/l,,0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Grab,Water ,1,Chloride - 00940,26,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Alton Pond,Trilogy,,WD
WW01,05/17/2014,10:48:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",3.7,m,,0.1,m,0.1,m,,,,,,,,Alton Pond,,Mark Baker,WD
WW01,05/17/2014,,Grab,Water,0.5,Enterococci - 31639,10,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Grab,Water ,1,"Nitrate + Nitrite, Dissolved - 00631",0.195,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Grab,Water ,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Grab,Water ,1,"Nitrogen, Total (unfiltered) - 00600",0.49,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Grab,Water,1,pH - 00400,6.4,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Alton Pond,,,WD
WW01,05/17/2014,,Replicate,Water,1,pH - 00400,6.5,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Alton Pond,,,WD
