WW_StaNumb,WW_Station,WBID,WB_Type,Site_DESCR,PARKING_ACCESS,Town,BorderTown,COUNTY,State,LAT_DD,LON_DD,ProjID,Year_added,Active,Status,DepthCode,MaxDepth_m,PublicAcce,LakeAcreag,sq__meter,HUC_8,HUC_10,HUC_12,HUC_10_NAME,HUC_12_NAME,Image,elevation_Feet,elevation_meters
1,WW01,RI0008040L-01,Reservoir ,Alton Pond,,Hopkinton,"Richmond, Hopkinton",WASHINGTON,RI,41.438171,-71.721642,12,1988,2016,Active,S,4.2,Yes,99.7,,1090005,109000501,10900050102,Wood River,Lower Wood River,,46.9,14.3
2,WW02,RI0008039L-14,Lake or Pond,Barber Pond,,South Kingstown,,WASHINGTON,RI,41.504129,-71.564271,12,1988,2016,Active,D,4.6,Yes,28.5,,1090005,109000502,10900050204,Upper Pawcatuck River,Usquepaug River-Pawcatuck River,,114.8,35
3,WW03,RI0007027L-02,Lake or Pond,Belleville Pond-Lower,Entrance follows a sluiceway off of Oak Hill Rd. at Belleville Park,North Kingstown,,KENT,RI,41.561453,-71.475119,12,1989,2016,Active,S,2.5,Yes,101,527324.9,1090004,109000409,10900040908,Narragansett Bay,Lower West Passage,,45.7,13.9
4,WW04,RI0007027L-02,Lake or Pond,Belleville Pond-Upper,Entrance follows a sluiceway off of Oak Hill Rd. at Belleville Park,North Kingstown,,KENT,RI,41.563136,-71.481419,12,1989,2016,Active,S,1.2,Yes,31.5,,1090004,109000409,10900040908,Narragansett Bay,Lower West Passage,,45.7,13.9
5,WW05,RI0006018L-06,Lake or Pond,Blackamore Pond,,Cranston,,PROVIDENCE,RI,41.774109,-71.44689,12,2001,2016,Active,S,4.5,Yes,,,1090004,109000406,10900040608,Pawtuxet River,Pocassett River,,24.9,7.6
6,WW06,RI0008040L-14,Lake or Pond,Boone Lake,Off Rte 165; no public access,Exeter,,WASHINGTON,RI,41.581428,-71.675153,12,1988,2016,Active,D,6.8,No,46.2,184767.3,1090005,109000501,10900050101,Wood River,Upper Wood River,,345.3,105.2
7,WW07,RI0007020L-02,Lake or Pond,Brickyard Pond,"Access from Memorial Park, end of West St. off Maple Ave.",Barrington,,BRISTOL,RI,41.73385,-71.319964,12,1994,2004,Not Active,D,5.5,Yes,85.1,340219.9,1090004,109000409,10900040901,Narragansett Bay,Seekonk River-Providence River,,1.3,0.4
8,WW08,RI0010044L-03,Lake or Pond,Carr Pond (North Kingstown),"Gilbert Stuart birthplace, paid access and boat rental",North Kingstown,,KENT,RI,41.523592,-71.451522,12,1989,2016,Active,D,5.8,No,55.2,220839.3,1090004,109000409,10900040912,Narragansett Bay,Pettaquamscutt River-Frontal Atlantic Ocean,,11,3.3
9,WW09,RI0006012L-01,Lake or Pond,Carr Pond (West Greenwich),,West Greenwich,,KENT,RI,41.634417,-71.556514,12,2000,2016,Active,D,11.5,No,83.2,,1090004,109000406,10900040601,Pawtuxet River,Big River,,330,100.6
10,WW10,RI0005011L-06,Lake or Pond,Clark Pond,Near intersection of North Rd. and South Killingly Rd.,Foster,,PROVIDENCE,RI,41.772414,-71.776758,12,2000,2001,Not Active,S,2,No,20.6,82548.84,1100001,110000105,11000010501,Moosup River,Upper Moosup River,,519.9,158.5
