Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,MONITOR 1,MONITOR 2,
WW273,07/31/2001,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Analog,GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,,Replicate,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Analog,GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,,Replicate,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Analog,GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,,Replicate,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Analog,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,,Replicate,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Analog,GSP #2 (Narragansett Inn),,,
WW273,10/05/2001,,Replicate,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.0,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Analog,GSP #2 (Narragansett Inn),,,
WW273,10/18/2001,,Replicate,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Digital,GSP #2 (Narragansett Inn),,,
WW273,07/31/2001,17:05,,,,"Depth to bottom from water surface at sampling location, meters - 82903",5,m,,0.1,m,0.1,m,,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/13/2001,13:51,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0.1,m,0.1,m,,,,,,,"duPont, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,08/23/2001,9:40,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
WW273,09/13/2001,12:53,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.7,m,,0.1,m,0.1,m,,,,,,,Kaufmann,GSP #2 (Narragansett Inn),,,
WW273,09/20/2001,10:35,,,,"Depth to bottom from water surface at sampling location, meters - 82903",4,m,,0.1,m,0.1,m,,,,,,,"Howe, Kaufmann",GSP #2 (Narragansett Inn),,,
